source,target,length
25322177_,25322181_,33.912
25322181_,25322183_,90.967
25322181_,25322245_,136.78799999999998
25322183_,25322377_,38.855
25322197_,266821726_,11.174
25322198_,776881032_,28.37
25322198_,266821726_,43.528999999999996
25322199_,268624615_,53.678
25322199_,776881032_,21.288
25322217_,25322218_,156.835
25322218_,25322274_,54.354
25322245_,25322260_,6.053
25322260_,1149064261_,20.546
25322260_,1149064290_,53.446
25322274_,1149064261_,30.526000000000003
25322366_,8568191220_,23.891
25473586_,7652058104_,54.996
25473586_,7369674876_,49.162
25473586_,1108317716_,43.745
25473589_,26389442_,10.796
25473589_,418308386_,69.346
25481644_,7745971376_,9.854
25481644_,84848260_,14.097
25481644_,2430112579_,72.263
25481802_,1377168610_,9.034
25481802_,882800144_,61.894000000000005
25481802_,7746316925_,29.525
25502508_,7448066006_,48.894
25502508_,941091174_,139.654
25502513_,1414777262_,106.076
25502513_,5515453611_,5.325
25502513_,701169640_,57.629999999999995
25502513_,1011806789_,19.675
25502516_,25502519_,63.367
25502516_,1011806789_,61.304
25502519_,25502521_,61.804
25502519_,25502523_,169.048
25502521_,25502535_,59.264
25502521_,25502537_,169.18
25502523_,25502537_,61.179
25502532_,255469385_,139.822
25502532_,255575434_,14.541
25502534_,25502535_,38.95
25502534_,973649552_,49.272000000000006
25502534_,25502538_,169.386
25502534_,1289587652_,24.103
25502535_,25502536_,169.305
25502536_,941120084_,13.667
25502536_,25502537_,61.039
25502538_,941120084_,25.533
25502538_,941120089_,38.894
25502539_,5515456580_,3.48
25502539_,1414777284_,48.754000000000005
25502539_,91803454_,71.02199999999999
25502542_,7401591193_,2.199
25502542_,8193885224_,71.099
25502542_,254436777_,40.879
25502543_,7432089428_,27.374
25502543_,919629162_,17.148
25502543_,254438495_,79.46199999999999
26373957_,26373958_,38.562
26373957_,108332713_,121.58699999999999
26373958_,108334357_,125.62
26373958_,26373959_,42.276
26373975_,91796243_,108.63000000000001
26373975_,108337957_,54.527
26373976_,7505717741_,78.893
26373976_,332515499_,73.554
26373976_,91796243_,168.60399999999998
26389001_,265565434_,180.735
26389001_,267342169_,39.647
26389001_,26389051_,66.795
26389003_,26389038_,131.982
26389003_,1292917026_,34.174
26389003_,8154094266_,81.305
26389004_,1109546271_,58.471
26389004_,3959117798_,24.022
26389013_,1116949690_,64.446
26389013_,265563774_,45.849
26389016_,7591017529_,59.688
26389016_,6584208462_,45.889
26389016_,1265917715_,32.604
26389016_,1356901661_,95.945
26389019_,26389023_,31.691
26389019_,1292917026_,52.654
26389019_,26389044_,38.919000000000004
26389023_,341127997_,84.596
26389023_,7858977848_,25.863
26389024_,26514299_,107.918
26389024_,26389025_,51.218
26389024_,7858977848_,38.394999999999996
26389025_,26389026_,22.739
26389025_,267342173_,19.146
26389026_,26514309_,85.852
26389026_,1358083196_,27.707
26389027_,7888882563_,126.598
26389027_,95953252_,40.169
26389027_,1358083196_,48.827
26389029_,300425835_,13.428
26389029_,1358379359_,61.658
26389034_,7838663562_,113.645
26389034_,1106482697_,49.167
26389034_,95951000_,44.366
26389035_,26389036_,81.144
26389035_,95951173_,76.985
26389035_,941267822_,23.698
26389036_,59191983_,47.355
26389036_,27322867_,96.127
26389036_,57680058_,114.357
26389037_,57650629_,112.204
26389037_,59191983_,32.059
26389037_,26389038_,117.102
26389037_,26788836_,111.92399999999999
26389038_,59191983_,147.92700000000002
26389043_,26389044_,63.333
26389043_,7851823798_,18.068
26389043_,26389053_,126.999
26389044_,7544457427_,146.312
26389045_,26389054_,40.2
26389045_,341127997_,69.643
26389045_,26389046_,126.78
26389046_,7858977990_,33.927
26389048_,7888882563_,47.381
26389048_,26389049_,9.703
26389048_,95953254_,38.007
26389049_,26389135_,130.91
26389051_,7877392059_,27.159
26389051_,267342171_,42.769999999999996
26389053_,27125489_,17.75
26389053_,7823774174_,127.66800000000003
26389054_,1132242821_,11.499
26389078_,27089826_,37.325
26389078_,26389135_,75.872
26389089_,26389092_,111.598
26389089_,26389090_,64.307
26389089_,8117778958_,28.118
26389090_,26389091_,117.373
26389090_,8117778957_,66.692
26389091_,26389092_,63.846
26389092_,6309420802_,70.372
26389109_,27090010_,133.184
26389109_,26389112_,49.68
26389109_,27089886_,37.885
26389112_,27090013_,130.952
26389112_,26389115_,66.146
26389115_,26389123_,241.67900000000003
26389115_,26389123_,238.87600000000003
26389115_,27091602_,165.487
26389123_,8133565600_,64.938
26389135_,27089823_,38.939
26389135_,26389138_,72.724
26389138_,26389148_,101.446
26389138_,26389156_,70.826
26389138_,26389140_,133.234
26389140_,860183697_,70.626
26389140_,1116142944_,27.191
26389140_,95953254_,26.031
26389148_,26389154_,81.368
26389148_,27089798_,35.844
26389154_,8107461988_,102.59
26389154_,26389159_,53.619
26389156_,26389162_,43.177
26389156_,26389159_,61.671
26389159_,1356260306_,110.37
26389162_,26389165_,77.826
26389162_,1360295510_,83.515
26389165_,27089831_,86.927
26389167_,1275637190_,24.704
26389167_,1360295425_,25.808
26389167_,27125492_,69.219
26389186_,27512734_,41.779
26389186_,26787663_,203.488
26389186_,27125492_,49.043000000000006
26389188_,4353302294_,12.891
26389188_,27512734_,36.756
26389188_,26389189_,74.122
26389189_,4353302292_,17.408
26389189_,26389190_,44.672
26389190_,862464665_,48.123
26389190_,8270176267_,68.663
26389194_,1208541413_,18.594
26389194_,27512736_,22.499
26389196_,8107462008_,13.609
26389196_,8288640179_,3.014
26389198_,26389336_,102.73000000000002
26389198_,8091273206_,102.44100000000002
26389209_,8107462008_,89.475
26389209_,1115760652_,152.618
26389219_,300425813_,86.895
26389219_,1356260243_,93.40299999999999
26389219_,1116142944_,49.961000000000006
26389299_,1668506746_,84.941
26389299_,26389300_,63.597
26389300_,26389317_,70.767
26389300_,26389341_,52.096
26389317_,26389318_,59.352
26389317_,27089783_,121.925
26389318_,27089790_,40.412
26389318_,1960925470_,112.38499999999999
26389319_,26389334_,79.946
26389319_,8043756354_,2.434
26389319_,1960954879_,46.751
26389320_,26389322_,115.51400000000001
26389320_,8043756354_,92.613
26389320_,3818359102_,29.531999999999996
26389322_,26389333_,66.199
26389322_,96087926_,68.541
26389333_,1960954878_,50.721
26389333_,96087926_,183.491
26389334_,5904372084_,39.623
26389334_,96084765_,173.662
26389336_,29049572_,27.282
26389340_,1275507403_,132.518
26389340_,26389346_,101.792
26389340_,29049572_,30.961000000000002
26389341_,8091273206_,2.466
26389341_,8092987045_,29.672
26389346_,6551414194_,95.598
26389346_,26594443_,53.813
26389346_,31200012_,48.275
26389359_,31200011_,119.501
26389359_,302397675_,84.426
26389361_,5146341249_,17.191
26389361_,4147738097_,80.303
26389375_,7652058102_,56.527
26389375_,1770239303_,36.669
26389381_,387940759_,43.977
26389381_,392513282_,50.728
26389381_,415142765_,43.577
26389424_,8357438374_,54.731
26389424_,9412674892_,21.512
26389424_,7371864280_,27.864
26389442_,34519894_,41.055
26389442_,415142094_,75.191
26389449_,26966492_,82.659
26389449_,7933754376_,52.019
26389449_,3960591923_,12.015
26389449_,3960600156_,21.38
26389452_,7371559443_,67.22
26389452_,9412674892_,96.629
26389452_,6584208468_,12.837
26389476_,860183709_,52.567
26389476_,27481160_,25.604
26389476_,26389479_,45.22
26389479_,7569836998_,48.478
26389502_,80164306_,25.202
26389502_,80158631_,244.29200000000003
26389502_,80158631_,20.703
26389504_,26389506_,266.362
26389504_,7603527770_,24.92
26389504_,7603533896_,20.243
26389505_,7603533896_,21.312
26389505_,80158631_,40.463
26389506_,862464696_,37.05
26389508_,391596489_,23.646
26389508_,391596487_,25.33
26389508_,391596009_,61.842
26389510_,7560350703_,14.97
26389510_,2122550890_,25.974
26389511_,6602656097_,1.955
26389545_,26389548_,37.075
26389545_,86110240_,48.456
26389548_,26389563_,54.721000000000004
26389548_,26389565_,197.58399999999997
26389563_,26389570_,101.314
26389563_,26389565_,68.089
26389565_,26389570_,50.854
26389570_,26389572_,73.189
26389572_,27481196_,51.208
26389593_,27481197_,34.694
26389593_,414798360_,32.881
26389603_,88725584_,64.396
26389627_,386254378_,16.333
26389631_,973649557_,10.694
26389631_,84830011_,139.883
26389631_,1351876738_,70.64199999999998
26389632_,26389641_,105.788
26389632_,26389647_,88.72
26389632_,26389633_,68.219
26389632_,7695645293_,52.69
26389633_,26389634_,142.962
26389633_,26389667_,92.385
26389633_,78560467_,108.54
26389634_,26389635_,66.672
26389634_,376491704_,37.903000000000006
26389635_,26389641_,40.658
