code,predicted_pm2.5,geometry
88,15, -0.1580879604161631 51.49410771357633_ -0.1580879604161631 51.49590635678817_ -0.1609771336801359 51.49590635678817_ -0.1609771336801359 51.49410771357633_ -0.1580879604161631 51.49410771357633
89,15, -0.1580879604161631 51.49590635678817_ -0.1580879604161631 51.497705_ -0.1609771336801359 51.497705_ -0.1609771336801359 51.49590635678817_ -0.1580879604161631 51.49590635678817
90,15, -0.1580879604161631 51.497705_ -0.1580879604161631 51.49950364321184_ -0.1609771336801359 51.49950364321184_ -0.1609771336801359 51.497705_ -0.1580879604161631 51.497705
91,5, -0.1580879604161631 51.49950364321184_ -0.1580879604161631 51.50130228642368_ -0.1609771336801359 51.50130228642368_ -0.1609771336801359 51.49950364321184_ -0.1580879604161631 51.49950364321184
92,5, -0.1580879604161631 51.50130228642368_ -0.1580879604161631 51.503100929635515_ -0.1609771336801359 51.503100929635515_ -0.1609771336801359 51.50130228642368_ -0.1580879604161631 51.50130228642368
93,5, -0.1580879604161631 51.503100929635515_ -0.1580879604161631 51.50489957284736_ -0.1609771336801359 51.50489957284736_ -0.1609771336801359 51.503100929635515_ -0.1580879604161631 51.503100929635515
94,5, -0.1580879604161631 51.50489957284736_ -0.1580879604161631 51.50669821605919_ -0.1609771336801359 51.50669821605919_ -0.1609771336801359 51.50489957284736_ -0.1580879604161631 51.50489957284736
95,5, -0.1580879604161631 51.50669821605919_ -0.1580879604161631 51.50849685927103_ -0.1609771336801359 51.50849685927103_ -0.1609771336801359 51.50669821605919_ -0.1580879604161631 51.50669821605919
96,5, -0.1580879604161631 51.50849685927103_ -0.1580879604161631 51.51029550248287_ -0.1609771336801359 51.51029550248287_ -0.1609771336801359 51.50849685927103_ -0.1580879604161631 51.50849685927103
97,5, -0.1580879604161631 51.51029550248287_ -0.1580879604161631 51.512094145694704_ -0.1609771336801359 51.512094145694704_ -0.1609771336801359 51.51029550248287_ -0.1580879604161631 51.51029550248287
98,5, -0.1580879604161631 51.512094145694704_ -0.1580879604161631 51.513892788906546_ -0.1609771336801359 51.513892788906546_ -0.1609771336801359 51.512094145694704_ -0.1580879604161631 51.512094145694704
99,5, -0.1580879604161631 51.513892788906546_ -0.1580879604161631 51.51569143211838_ -0.1609771336801359 51.51569143211838_ -0.1609771336801359 51.513892788906546_ -0.1580879604161631 51.513892788906546
100,5, -0.1609771336801359 51.479718567881626_ -0.1609771336801359 51.48151721109346_ -0.1638663069441087 51.48151721109346_ -0.1638663069441087 51.479718567881626_ -0.1609771336801359 51.479718567881626
101,5, -0.1609771336801359 51.48151721109346_ -0.1609771336801359 51.4833158543053_ -0.1638663069441087 51.4833158543053_ -0.1638663069441087 51.48151721109346_ -0.1609771336801359 51.48151721109346
102,15, -0.1609771336801359 51.4833158543053_ -0.1609771336801359 51.48511449751714_ -0.1638663069441087 51.48511449751714_ -0.1638663069441087 51.4833158543053_ -0.1609771336801359 51.4833158543053
103,15, -0.1609771336801359 51.48511449751714_ -0.1609771336801359 51.48691314072898_ -0.1638663069441087 51.48691314072898_ -0.1638663069441087 51.48511449751714_ -0.1609771336801359 51.48511449751714
104,15, -0.1609771336801359 51.48691314072898_ -0.1609771336801359 51.488711783940815_ -0.1638663069441087 51.488711783940815_ -0.1638663069441087 51.48691314072898_ -0.1609771336801359 51.48691314072898
105,15, -0.1609771336801359 51.488711783940815_ -0.1609771336801359 51.49051042715265_ -0.1638663069441087 51.49051042715265_ -0.1638663069441087 51.488711783940815_ -0.1609771336801359 51.488711783940815
